ZipCode,State,IntersectingCounty,StudyGroup
18847,PA,Susquehanna,PA Border
18821,PA,Susquehanna,PA Border
18822,PA,Susquehanna,PA Border
18812,PA,Susquehanna,PA Border
18818,PA,Susquehanna,PA Border
18830,PA,Susquehanna,PA Border
18801,PA,Susquehanna,PA Border
18834,PA,Susquehanna,PA Border
18825,PA,Susquehanna,PA Border
18823,PA,Susquehanna,PA Border
18826,PA,Susquehanna,PA Border
18842,PA,Susquehanna,PA Border
18824,PA,Susquehanna,PA Border
18844,PA,Susquehanna,PA Border
18630,PA,Susquehanna,PA Border
16925,PA,Bradford,PA Border
18840,PA,Bradford,PA Border
18837,PA,Bradford,PA Border
18851,PA,Bradford,PA Border
18829,PA,Bradford,PA Border
18828,PA,Bradford,PA Border
18845,PA,Bradford,PA Border
18623,PA,Bradford,PA Border
18846,PA,Bradford,PA Border
18833,PA,Bradford,PA Border
18832,PA,Bradford,PA Border
17724,PA,Bradford,PA Border
16926,PA,Bradford,PA Border
16947,PA,Bradford,PA Border
16914,PA,Bradford,PA Border
18817,PA,Bradford,PA Border
18831,PA,Bradford,PA Border
18850,PA,Bradford,PA Border
18810,PA,Bradford,PA Border
18848,PA,Bradford,PA Border
18853,PA,Bradford,PA Border
18854,PA,Bradford,PA Border
16929,PA,Tioga,PA Border
16936,PA,Tioga,PA Border
16920,PA,Tioga,PA Border
16942,PA,Tioga,PA Border
16928,PA,Tioga,PA Border
16935,PA,Tioga,PA Border
16946,PA,Tioga,PA Border
16933,PA,Tioga,PA Border
16932,PA,Tioga,PA Border
16917,PA,Tioga,PA Border
17765,PA,Tioga,PA Border
16912,PA,Tioga,PA Border
16930,PA,Tioga,PA Border
16901,PA,Tioga,PA Border
17964,PA,Schuylkill,PA Mid
17965,PA,Schuylkill,PA Mid
18252,PA,Schuylkill,PA Mid
17966,PA,Schuylkill,PA Mid
17967,PA,Schuylkill,PA Mid
17968,PA,Schuylkill,PA Mid
17970,PA,Schuylkill,PA Mid
17972,PA,Schuylkill,PA Mid
17974,PA,Schuylkill,PA Mid
17976,PA,Schuylkill,PA Mid
17979,PA,Schuylkill,PA Mid
17981,PA,Schuylkill,PA Mid
17982,PA,Schuylkill,PA Mid
17983,PA,Schuylkill,PA Mid
17985,PA,Schuylkill,PA Mid
19549,PA,Schuylkill,PA Mid
17901,PA,Schuylkill,PA Mid
18211,PA,Schuylkill,PA Mid
17921,PA,Schuylkill,PA Mid
17923,PA,Schuylkill,PA Mid
18214,PA,Schuylkill,PA Mid
17925,PA,Schuylkill,PA Mid
17923,PA,Schuylkill,PA Mid
18214,PA,Schuylkill,PA Mid
17925,PA,Schuylkill,PA Mid
17929,PA,Schuylkill,PA Mid
18218,PA,Schuylkill,PA Mid
17930,PA,Schuylkill,PA Mid
18220,PA,Schuylkill,PA Mid
17931,PA,Schuylkill,PA Mid
17932,PA,Schuylkill,PA Mid
17933,PA,Schuylkill,PA Mid
17934,PA,Schuylkill,PA Mid
17935,PA,Schuylkill,PA Mid
17936,PA,Schuylkill,PA Mid
17938,PA,Schuylkill,PA Mid
17941,PA,Schuylkill,PA Mid
18231,PA,Schuylkill,PA Mid
17943,PA,Schuylkill,PA Mid
17944,PA,Schuylkill,PA Mid
17946,PA,Schuylkill,PA Mid
18237,PA,Schuylkill,PA Mid
17948,PA,Schuylkill,PA Mid
17949,PA,Schuylkill,PA Mid
18240,PA,Schuylkill,PA Mid
17951,PA,Schuylkill,PA Mid
17952,PA,Schuylkill,PA Mid
18242,PA,Schuylkill,PA Mid
17953,PA,Schuylkill,PA Mid
17954,PA,Schuylkill,PA Mid
18245,PA,Schuylkill,PA Mid
17957,PA,Schuylkill,PA Mid
17959,PA,Schuylkill,PA Mid
17960,PA,Schuylkill,PA Mid
18248,PA,Schuylkill,PA Mid
17961,PA,Schuylkill,PA Mid
17963,PA,Schuylkill,PA Mid
17820,PA,North Umberland,PA Mid
17851,PA,North Umberland,PA Mid
17824,PA,North Umberland,PA Mid
17872,PA,North Umberland,PA Mid
17860,PA,North Umberland,PA Mid
17866,PA,North Umberland,PA Mid
17834,PA,North Umberland,PA Mid
17881,PA,North Umberland,PA Mid
17801,PA,North Umberland,PA Mid
17830,PA,North Umberland,PA Mid
17017,PA,North Umberland,PA Mid
17857,PA,North Umberland,PA Mid
17964,PA,North Umberland,PA Mid
17941,PA,North Umberland,PA Mid
17836,PA,North Umberland,PA Mid
17867,PA,North Umberland,PA Mid
17823,PA,North Umberland,PA Mid
17870,PA,Snyder,PA Mid
17864,PA,Snyder,PA Mid
17853,PA,Snyder,PA Mid
17842,PA,Snyder,PA Mid
17086,PA,Snyder,PA Mid
17813,PA,Snyder,PA Mid
17812,PA,Snyder,PA Mid
17841,PA,Mifflin,PA Mid
17063,PA,Mifflin,PA Mid
17084,PA,Mifflin,PA Mid
13754,NY,Broome,NY Border
13865,NY,Broome,NY Border
13826,NY,Broome,NY Border
13787,NY,Broome,NY Border
13813,NY,Broome,NY Border
13730,NY,Broome,NY Border
13748,NY,Broome,NY Border
13795,NY,Broome,NY Border
13903,NY,Broome,NY Border
13850,NY,Broome,NY Border
13902,NY,Broome,NY Border
13760,NY,Broome,NY Border
13790,NY,Broome,NY Border
13905,NY,Broome,NY Border
13904,NY,Broome,NY Border
13833,NY,Broome,NY Border
13901,NY,Broome,NY Border
13802,NY,Broome,NY Border
13744,NY,Broome,NY Border
13746,NY,Broome,NY Border
13862,NY,Broome,NY Border
13797,NY,Broome,NY Border
13732,NY,Tioga,NY Border
13827,NY,Tioga,NY Border
13812,NY,Tioga,NY Border
14892,NY,Tioga,NY Border
13845,NY,Tioga,NY Border
13734,NY,Tioga,NY Border
14859,NY,Tioga,NY Border
14883,NY,Tioga,NY Border
13864,NY,Tioga,NY Border
13743,NY,Tioga,NY Border
13811,NY,Tioga,NY Border
13736,NY,Tioga,NY Border
14825,NY,Chemung,NY Border
14861,NY,Chemung,NY Border
14894,NY,Chemung,NY Border
14871,NY,Chemung,NY Border
14904,NY,Chemung,NY Border
14905,NY,Chemung,NY Border
14903,NY,Chemung,NY Border
14814,NY,Chemung,NY Border
14845,NY,Chemung,NY Border
14872,NY,Chemung,NY Border
14864,NY,Chemung,NY Border
14816,NY,Chemung,NY Border
14838,NY,Chemung,NY Border
14889,NY,Chemung,NY Border
14901,NY,Chemung,NY Border
14824,NY,Chemung,NY Border
14858,NY,Steuben,NY Border
14830,NY,Steuben,NY Border
14870,NY,Steuben,NY Border
14827,NY,Steuben,NY Border
14812,NY,Steuben,NY Border
14801,NY,Steuben,NY Border
14821,NY,Steuben,NY Border
14879,NY,Steuben,NY Border
14810,NY,Steuben,NY Border
14820,NY,Steuben,NY Border
14898,NY,Steuben,NY Border
14855,NY,Steuben,NY Border
14885,NY,Steuben,NY Border
14877,NY,Steuben,NY Border
14839,NY,Steuben,NY Border
