"OutcomeGroup","Year","StudyGroup","NumDiagnosisColsUsed","TotalClaimsRaw","TotalBenes","TotalClaims"
"ami",2002,"NY Border",2,899,72468,899
"ami",2002,"NY Border",25,1023,72468,1023
"ami",2002,"NY Mid",2,416,31978,416
"ami",2002,"NY Mid",25,488,31978,488
"ami",2002,"NY Northeastern",2,174,13356,174
"ami",2002,"NY Northeastern",25,189,13356,189
"ami",2002,"PA Border",2,317,23027,317
"ami",2002,"PA Border",25,373,23027,373
"ami",2002,"PA Mid",2,986,54997,986
"ami",2002,"PA Mid",25,1140,54997,1140
"ami",2002,"PA Southern",2,672,43222,672
"ami",2002,"PA Southern",25,775,43222,775
"ami",2003,"NY Border",2,856,72791,856
"ami",2003,"NY Border",25,972,72791,972
"ami",2003,"NY Mid",2,447,32444,447
"ami",2003,"NY Mid",25,510,32444,510
"ami",2003,"NY Northeastern",2,149,13447,149
"ami",2003,"NY Northeastern",25,166,13447,166
"ami",2003,"PA Border",2,324,23290,324
"ami",2003,"PA Border",25,380,23290,380
"ami",2003,"PA Mid",2,903,54657,903
"ami",2003,"PA Mid",25,1061,54657,1061
"ami",2003,"PA Southern",2,715,44214,715
"ami",2003,"PA Southern",25,803,44214,803
"ami",2004,"NY Border",2,890,72989,890
"ami",2004,"NY Border",25,1043,72989,1043
"ami",2004,"NY Mid",2,444,32644,444
"ami",2004,"NY Mid",25,521,32644,521
"ami",2004,"NY Northeastern",2,131,13645,131
"ami",2004,"NY Northeastern",25,155,13645,155
"ami",2004,"PA Border",2,231,23617,231
"ami",2004,"PA Border",25,273,23617,273
"ami",2004,"PA Mid",2,850,54534,850
"ami",2004,"PA Mid",25,985,54534,985
"ami",2004,"PA Southern",2,647,45247,647
"ami",2004,"PA Southern",25,768,45247,768
"ami",2005,"NY Border",2,844,73532,844
"ami",2005,"NY Border",25,978,73532,978
"ami",2005,"NY Mid",2,343,32937,343
"ami",2005,"NY Mid",25,414,32937,414
"ami",2005,"NY Northeastern",2,140,13815,140
"ami",2005,"NY Northeastern",25,168,13815,168
"ami",2005,"PA Border",2,265,23964,265
"ami",2005,"PA Border",25,300,23964,300
"ami",2005,"PA Mid",2,863,54401,863
"ami",2005,"PA Mid",25,1038,54401,1038
"ami",2005,"PA Southern",2,629,46385,629
